DataSet,PhotoName,Removal Reason,Data Label
train_data,37.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 1.0], 'left': [24.0, 42.0], 'top': [4.0, 2.0], 'width': [6.0, 7.0], 'height': [20.0, 20.0]}"
train_data,211.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 7.0], 'left': [19.0, 35.0], 'top': [2.0, 2.0], 'width': [10.0, 8.0], 'height': [18.0, 18.0]}"
train_data,344.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [9.0, 9.0], 'left': [41.0, 99.0], 'top': [6.0, 5.0], 'width': [26.0, 26.0], 'height': [41.0, 41.0]}"
train_data,362.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [3.0, 4.0], 'left': [33.0, 52.0], 'top': [7.0, 10.0], 'width': [10.0, 13.0], 'height': [23.0, 23.0]}"
train_data,505.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 7.0], 'left': [33.0, 65.0], 'top': [5.0, 8.0], 'width': [21.0, 21.0], 'height': [32.0, 32.0]}"
train_data,939.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 3.0], 'left': [40.0, 72.0], 'top': [15.0, 8.0], 'width': [14.0, 18.0], 'height': [29.0, 29.0]}"
train_data,964.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 1.0], 'left': [36.0, 50.0], 'top': [5.0, 5.0], 'width': [6.0, 11.0], 'height': [24.0, 24.0]}"
train_data,1202.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 2.0], 'left': [36.0, 67.0], 'top': [2.0, 5.0], 'width': [10.0, 14.0], 'height': [38.0, 38.0]}"
train_data,1266.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [5.0, 5.0], 'left': [67.0, 124.0], 'top': [16.0, 13.0], 'width': [28.0, 32.0], 'height': [57.0, 57.0]}"
train_data,1480.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 1.0], 'left': [55.0, 96.0], 'top': [6.0, 8.0], 'width': [17.0, 26.0], 'height': [51.0, 51.0]}"
train_data,1845.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 6.0, 8.0], 'left': [17.0, 20.0, 32.0], 'top': [3.0, 3.0, 2.0], 'width': [4.0, 5.0, 7.0], 'height': [12.0, 12.0, 12.0]}"
train_data,2141.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 8.0], 'left': [28.0, 52.0], 'top': [5.0, 3.0], 'width': [10.0, 12.0], 'height': [30.0, 30.0]}"
train_data,2191.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [3.0, 7.0], 'left': [27.0, 41.0], 'top': [7.0, 7.0], 'width': [6.0, 7.0], 'height': [18.0, 18.0]}"
train_data,2219.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 1.0], 'left': [28.0, 87.0], 'top': [8.0, 8.0], 'width': [14.0, 13.0], 'height': [27.0, 27.0]}"
train_data,2565.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [3.0, 10.0], 'left': [48.0, 84.0], 'top': [7.0, 11.0], 'width': [21.0, 20.0], 'height': [51.0, 51.0]}"
train_data,2784.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 3.0], 'left': [52.0, 107.0], 'top': [9.0, 14.0], 'width': [18.0, 17.0], 'height': [52.0, 52.0]}"
train_data,2993.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [3.0, 9.0], 'left': [73.0, 118.0], 'top': [18.0, 13.0], 'width': [22.0, 22.0], 'height': [41.0, 41.0]}"
train_data,3218.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [3.0, 6.0], 'left': [22.0, 35.0], 'top': [2.0, 4.0], 'width': [6.0, 8.0], 'height': [14.0, 14.0]}"
train_data,3280.png,Single bounding box contains multiple or incorrect digits,"{'label': [9.0], 'left': [50.0], 'top': [6.0], 'width': [20.0], 'height': [22.0]}"
train_data,3288.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 4.0], 'left': [31.0, 59.0], 'top': [4.0, 5.0], 'width': [6.0, 13.0], 'height': [28.0, 28.0]}"
train_data,3362.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 6.0], 'left': [21.0, 40.0], 'top': [4.0, 7.0], 'width': [8.0, 10.0], 'height': [24.0, 24.0]}"
train_data,3398.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 7.0], 'left': [46.0, 80.0], 'top': [5.0, 13.0], 'width': [12.0, 22.0], 'height': [41.0, 41.0]}"
train_data,3443.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 9.0], 'left': [8.0, 36.0], 'top': [14.0, 7.0], 'width': [13.0, 11.0], 'height': [21.0, 21.0]}"
train_data,3495.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 3.0], 'left': [24.0, 42.0], 'top': [7.0, 6.0], 'width': [6.0, 8.0], 'height': [18.0, 18.0]}"
train_data,3725.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [3.0, 1.0], 'left': [17.0, 28.0], 'top': [3.0, 5.0], 'width': [4.0, 5.0], 'height': [13.0, 13.0]}"
train_data,3897.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 1.0], 'left': [28.0, 51.0], 'top': [5.0, 7.0], 'width': [7.0, 8.0], 'height': [23.0, 23.0]}"
train_data,3945.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 9.0], 'left': [42.0, 64.0], 'top': [9.0, 12.0], 'width': [11.0, 11.0], 'height': [26.0, 26.0]}"
train_data,4491.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 5.0], 'left': [29.0, 52.0], 'top': [3.0, 4.0], 'width': [10.0, 13.0], 'height': [29.0, 29.0]}"
train_data,5024.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 5.0], 'left': [30.0, 46.0], 'top': [10.0, 10.0], 'width': [6.0, 10.0], 'height': [19.0, 19.0]}"
train_data,5169.png,Single bounding box contains multiple or incorrect digits,"{'label': [4.0], 'left': [12.0], 'top': [1.0], 'width': [22.0], 'height': [25.0]}"
train_data,5293.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 2.0], 'left': [15.0, 27.0], 'top': [2.0, 1.0], 'width': [6.0, 6.0], 'height': [15.0, 15.0]}"
train_data,5515.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 10.0], 'left': [33.0, 59.0], 'top': [6.0, 5.0], 'width': [7.0, 17.0], 'height': [28.0, 28.0]}"
train_data,5749.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 4.0], 'left': [40.0, 65.0], 'top': [8.0, 10.0], 'width': [8.0, 13.0], 'height': [33.0, 33.0]}"
train_data,6732.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 8.0], 'left': [47.0, 68.0], 'top': [15.0, 18.0], 'width': [11.0, 11.0], 'height': [20.0, 20.0]}"
train_data,7220.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 5.0], 'left': [158.0, 226.0], 'top': [43.0, 57.0], 'width': [25.0, 23.0], 'height': [40.0, 40.0]}"
train_data,7600.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 5.0], 'left': [49.0, 81.0], 'top': [14.0, 17.0], 'width': [11.0, 20.0], 'height': [37.0, 37.0]}"
train_data,7965.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 9.0], 'left': [34.0, 61.0], 'top': [3.0, 5.0], 'width': [11.0, 20.0], 'height': [31.0, 31.0]}"
train_data,8025.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 8.0], 'left': [31.0, 48.0], 'top': [3.0, 3.0], 'width': [6.0, 9.0], 'height': [24.0, 24.0]}"
train_data,8932.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 3.0], 'left': [146.0, 201.0], 'top': [61.0, 55.0], 'width': [25.0, 43.0], 'height': [67.0, 67.0]}"
train_data,9018.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 7.0], 'left': [17.0, 32.0], 'top': [2.0, 1.0], 'width': [6.0, 10.0], 'height': [18.0, 18.0]}"
train_data,9130.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [5.0, 6.0], 'left': [21.0, 38.0], 'top': [2.0, 2.0], 'width': [8.0, 7.0], 'height': [16.0, 16.0]}"
train_data,9692.png,Single bounding box contains multiple or incorrect digits,"{'label': [10.0], 'left': [49.0], 'top': [47.0], 'width': [22.0], 'height': [12.0]}"
train_data,9973.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 8.0], 'left': [26.0, 46.0], 'top': [4.0, 5.0], 'width': [9.0, 11.0], 'height': [22.0, 22.0]}"
train_data,10875.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 4.0], 'left': [20.0, 39.0], 'top': [3.0, 3.0], 'width': [7.0, 7.0], 'height': [16.0, 16.0]}"
train_data,10906.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 2.0], 'left': [23.0, 39.0], 'top': [3.0, 2.0], 'width': [6.0, 11.0], 'height': [21.0, 21.0]}"
train_data,11292.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 8.0], 'left': [66.0, 107.0], 'top': [7.0, 9.0], 'width': [14.0, 21.0], 'height': [45.0, 45.0]}"
train_data,11358.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 1.0], 'left': [77.0, 136.0], 'top': [13.0, 15.0], 'width': [25.0, 25.0], 'height': [80.0, 80.0]}"
train_data,11453.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 3.0, 4.0], 'left': [20.0, 36.0, 43.0], 'top': [3.0, 2.0, 1.0], 'width': [7.0, 8.0, 9.0], 'height': [21.0, 21.0, 21.0]}"
train_data,11649.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 7.0], 'left': [29.0, 52.0], 'top': [7.0, 5.0], 'width': [12.0, 11.0], 'height': [26.0, 26.0]}"
train_data,11824.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 8.0, 3.0], 'left': [53.0, 93.0, 111.0], 'top': [6.0, 4.0, 3.0], 'width': [11.0, 16.0, 15.0], 'height': [33.0, 33.0, 33.0]}"
train_data,11911.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 9.0], 'left': [49.0, 77.0], 'top': [25.0, 26.0], 'width': [9.0, 10.0], 'height': [32.0, 32.0]}"
train_data,12077.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 1.0, 6.0], 'left': [92.0, 106.0, 155.0], 'top': [20.0, 11.0, 21.0], 'width': [20.0, 16.0, 29.0], 'height': [81.0, 81.0, 81.0]}"
train_data,12565.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 8.0], 'left': [85.0, 135.0], 'top': [13.0, 56.0], 'width': [20.0, 19.0], 'height': [35.0, 35.0]}"
train_data,12687.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [5.0, 2.0], 'left': [29.0, 48.0], 'top': [4.0, 5.0], 'width': [9.0, 11.0], 'height': [21.0, 21.0]}"
train_data,12990.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 2.0], 'left': [16.0, 29.0], 'top': [5.0, 5.0], 'width': [4.0, 7.0], 'height': [13.0, 13.0]}"
train_data,13113.png,Single bounding box contains multiple or incorrect digits,"{'label': [8.0], 'left': [199.0], 'top': [41.0], 'width': [41.0], 'height': [44.0]}"
train_data,13326.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 4.0], 'left': [28.0, 75.0], 'top': [4.0, 5.0], 'width': [9.0, 12.0], 'height': [24.0, 24.0]}"
train_data,13714.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 2.0], 'left': [84.0, 129.0], 'top': [17.0, 20.0], 'width': [17.0, 35.0], 'height': [63.0, 63.0]}"
train_data,14091.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 4.0, 10.0], 'left': [16.0, 26.0, 45.0], 'top': [1.0, 1.0, 1.0], 'width': [6.0, 6.0, 8.0], 'height': [15.0, 15.0, 15.0]}"
train_data,14104.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [6.0, 2.0], 'left': [65.0, 121.0], 'top': [13.0, 10.0], 'width': [28.0, 32.0], 'height': [52.0, 52.0]}"
train_data,14191.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 8.0], 'left': [26.0, 40.0], 'top': [8.0, 6.0], 'width': [6.0, 10.0], 'height': [20.0, 20.0]}"
train_data,14220.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 2.0], 'left': [47.0, 72.0], 'top': [15.0, 5.0], 'width': [13.0, 20.0], 'height': [37.0, 37.0]}"
train_data,15002.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 4.0], 'left': [32.0, 57.0], 'top': [4.0, 6.0], 'width': [8.0, 11.0], 'height': [31.0, 31.0]}"
train_data,15875.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 8.0], 'left': [168.0, 190.0], 'top': [39.0, 35.0], 'width': [10.0, 9.0], 'height': [17.0, 17.0]}"
train_data,16117.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 3.0], 'left': [20.0, 38.0], 'top': [4.0, 4.0], 'width': [6.0, 12.0], 'height': [15.0, 15.0]}"
train_data,16353.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 8.0, 3.0], 'left': [20.0, 40.0, 73.0], 'top': [3.0, 3.0, 3.0], 'width': [7.0, 7.0, 8.0], 'height': [17.0, 17.0, 17.0]}"
train_data,16363.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [8.0, 3.0], 'left': [46.0, 89.0], 'top': [27.0, 26.0], 'width': [19.0, 16.0], 'height': [36.0, 36.0]}"
train_data,16638.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 2.0], 'left': [30.0, 51.0], 'top': [5.0, 3.0], 'width': [11.0, 16.0], 'height': [27.0, 27.0]}"
train_data,16664.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 1.0], 'left': [74.0, 114.0], 'top': [10.0, 9.0], 'width': [17.0, 26.0], 'height': [53.0, 53.0]}"
train_data,16691.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [3.0, 3.0], 'left': [39.0, 82.0], 'top': [9.0, 10.0], 'width': [18.0, 3.0], 'height': [33.0, 33.0]}"
train_data,17009.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 6.0], 'left': [17.0, 27.0], 'top': [3.0, 3.0], 'width': [2.0, 8.0], 'height': [13.0, 13.0]}"
train_data,17195.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 7.0], 'left': [25.0, 36.0], 'top': [8.0, 9.0], 'width': [4.0, 6.0], 'height': [15.0, 15.0]}"
train_data,17966.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [3.0, 10.0], 'left': [22.0, 51.0], 'top': [5.0, 6.0], 'width': [14.0, 16.0], 'height': [25.0, 25.0]}"
train_data,18087.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 3.0, 4.0], 'left': [26.0, 33.0, 41.0], 'top': [7.0, 8.0, 9.0], 'width': [6.0, 8.0, 9.0], 'height': [17.0, 17.0, 17.0]}"
train_data,18375.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [3.0, 9.0], 'left': [132.0, 209.0], 'top': [108.0, 110.0], 'width': [30.0, 30.0], 'height': [53.0, 53.0]}"
train_data,19446.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 10.0], 'left': [22.0, 38.0], 'top': [5.0, 4.0], 'width': [6.0, 11.0], 'height': [19.0, 19.0]}"
train_data,19559.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 8.0], 'left': [21.0, 40.0], 'top': [5.0, 4.0], 'width': [7.0, 6.0], 'height': [13.0, 13.0]}"
train_data,19832.png,Single bounding box contains multiple or incorrect digits,"{'label': [1.0], 'left': [44.0], 'top': [4.0], 'width': [53.0], 'height': [62.0]}"
train_data,20110.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 10.0], 'left': [78.0, 118.0], 'top': [38.0, 8.0], 'width': [18.0, 21.0], 'height': [31.0, 31.0]}"
train_data,20242.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 9.0], 'left': [21.0, 48.0], 'top': [1.0, 1.0], 'width': [12.0, 17.0], 'height': [25.0, 25.0]}"
train_data,20269.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 10.0], 'left': [60.0, 90.0], 'top': [17.0, 13.0], 'width': [15.0, 13.0], 'height': [33.0, 33.0]}"
train_data,20527.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 8.0], 'left': [22.0, 36.0], 'top': [2.0, 4.0], 'width': [6.0, 8.0], 'height': [20.0, 20.0]}"
train_data,20664.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 8.0], 'left': [22.0, 34.0], 'top': [9.0, 9.0], 'width': [4.0, 7.0], 'height': [11.0, 11.0]}"
train_data,20924.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [5.0, 2.0], 'left': [27.0, 47.0], 'top': [8.0, 8.0], 'width': [10.0, 8.0], 'height': [23.0, 23.0]}"
train_data,21276.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 6.0], 'left': [15.0, 30.0], 'top': [1.0, 1.0], 'width': [7.0, 7.0], 'height': [15.0, 15.0]}"
train_data,21338.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 3.0], 'left': [41.0, 63.0], 'top': [5.0, 29.0], 'width': [5.0, 10.0], 'height': [20.0, 20.0]}"
train_data,21536.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 6.0], 'left': [37.0, 70.0], 'top': [10.0, 4.0], 'width': [10.0, 18.0], 'height': [36.0, 36.0]}"
train_data,21610.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 6.0], 'left': [33.0, 72.0], 'top': [9.0, 12.0], 'width': [11.0, 16.0], 'height': [25.0, 25.0]}"
train_data,21686.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 3.0], 'left': [47.0, 85.0], 'top': [13.0, 6.0], 'width': [14.0, 21.0], 'height': [51.0, 51.0]}"
train_data,21968.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 8.0], 'left': [31.0, 47.0], 'top': [11.0, 12.0], 'width': [7.0, 8.0], 'height': [16.0, 16.0]}"
train_data,22141.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 6.0], 'left': [47.0, 73.0], 'top': [15.0, 12.0], 'width': [11.0, 13.0], 'height': [22.0, 22.0]}"
train_data,22218.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 8.0], 'left': [39.0, 68.0], 'top': [5.0, 7.0], 'width': [12.0, 19.0], 'height': [33.0, 33.0]}"
train_data,22355.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 7.0], 'left': [18.0, 29.0], 'top': [1.0, 1.0], 'width': [5.0, 6.0], 'height': [16.0, 16.0]}"
train_data,22702.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 3.0], 'left': [11.0, 26.0], 'top': [4.0, 2.0], 'width': [6.0, 7.0], 'height': [14.0, 14.0]}"
train_data,22808.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 1.0], 'left': [25.0, 46.0], 'top': [5.0, 5.0], 'width': [8.0, 6.0], 'height': [18.0, 18.0]}"
train_data,23207.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 5.0], 'left': [27.0, 64.0], 'top': [2.0, 4.0], 'width': [13.0, 10.0], 'height': [24.0, 24.0]}"
train_data,23356.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 6.0], 'left': [27.0, 48.0], 'top': [1.0, 3.0], 'width': [11.0, 12.0], 'height': [32.0, 32.0]}"
train_data,23523.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 9.0], 'left': [35.0, 65.0], 'top': [8.0, 11.0], 'width': [12.0, 15.0], 'height': [25.0, 25.0]}"
train_data,23536.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 8.0], 'left': [42.0, 78.0], 'top': [7.0, 4.0], 'width': [15.0, 18.0], 'height': [39.0, 39.0]}"
train_data,23573.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 7.0], 'left': [37.0, 56.0], 'top': [15.0, 10.0], 'width': [6.0, 10.0], 'height': [18.0, 18.0]}"
train_data,23615.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 3.0, 1.0], 'left': [13.0, 30.0, 40.0], 'top': [1.0, 2.0, 3.0], 'width': [7.0, 9.0, 6.0], 'height': [14.0, 14.0, 14.0]}"
train_data,23640.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 10.0], 'left': [43.0, 71.0], 'top': [7.0, 4.0], 'width': [10.0, 18.0], 'height': [27.0, 27.0]}"
train_data,23742.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 7.0], 'left': [39.0, 53.0], 'top': [9.0, 10.0], 'width': [7.0, 10.0], 'height': [26.0, 26.0]}"
train_data,23751.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 3.0, 3.0], 'left': [18.0, 25.0, 42.0], 'top': [2.0, 4.0, 3.0], 'width': [8.0, 8.0, 8.0], 'height': [20.0, 20.0, 20.0]}"
train_data,23951.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 7.0], 'left': [51.0, 71.0], 'top': [16.0, 19.0], 'width': [10.0, 12.0], 'height': [28.0, 28.0]}"
train_data,24442.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 4.0], 'left': [45.0, 61.0], 'top': [15.0, 12.0], 'width': [8.0, 9.0], 'height': [29.0, 29.0]}"
train_data,24693.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 1.0], 'left': [20.0, 33.0], 'top': [4.0, 4.0], 'width': [6.0, 4.0], 'height': [17.0, 17.0]}"
train_data,24695.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 2.0], 'left': [12.0, 29.0], 'top': [2.0, 2.0], 'width': [8.0, 10.0], 'height': [16.0, 16.0]}"
train_data,25145.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 7.0], 'left': [22.0, 39.0], 'top': [1.0, 1.0], 'width': [5.0, 14.0], 'height': [23.0, 23.0]}"
train_data,25514.png,Single bounding box contains multiple or incorrect digits,"{'label': [1.0], 'left': [49.0], 'top': [89.0], 'width': [20.0], 'height': [11.0]}"
train_data,25562.png,Single bounding box contains multiple or incorrect digits,"{'label': [7.0], 'left': [31.0], 'top': [2.0], 'width': [37.0], 'height': [28.0]}"
train_data,25860.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [1.0, 5.0], 'left': [31.0, 63.0], 'top': [9.0, 7.0], 'width': [13.0, 16.0], 'height': [27.0, 27.0]}"
train_data,25929.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 10.0, 10.0], 'left': [15.0, 33.0, 66.0], 'top': [5.0, 6.0, 5.0], 'width': [11.0, 12.0, 12.0], 'height': [21.0, 21.0, 21.0]}"
train_data,26058.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [3.0, 1.0], 'left': [50.0, 61.0], 'top': [31.0, 21.0], 'width': [17.0, 17.0], 'height': [28.0, 28.0]}"
train_data,26679.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [3.0, 2.0], 'left': [20.0, 65.0], 'top': [0.0, 0.0], 'width': [20.0, 21.0], 'height': [36.0, 36.0]}"
train_data,26785.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [3.0, 2.0, 1.0], 'left': [43.0, 59.0, 68.0], 'top': [15.0, 15.0, 14.0], 'width': [8.0, 9.0, 5.0], 'height': [16.0, 16.0, 16.0]}"
train_data,27053.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [2.0, 7.0], 'left': [26.0, 49.0], 'top': [2.0, 5.0], 'width': [11.0, 10.0], 'height': [26.0, 26.0]}"
train_data,27227.png,Single bounding box contains multiple or incorrect digits,"{'label': [6.0], 'left': [24.0], 'top': [77.0], 'width': [29.0], 'height': [17.0]}"
train_data,27237.png,Skipped digit that will be included during pre-processing or included a non-existent digit,"{'label': [6.0, 4.0], 'left': [55.0, 90.0], 'top': [9.0, 12.0], 'width': [16.0, 19.0], 'height': [26.0, 26.0]}"
